"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x24900072","x1375120846805737474",2021-03-25 16:22:13,"mauriciomacri","Esta mañana estuve en el Centro Metropolitano de Diseño con @horaciorlarreta y @Soledad_Acunia para compartir un encuentro con chicos de escuelas públicas de la Ciudad. https://t.co/B4C62PW47T","Twitter Web App",168,,,,FALSE,FALSE,8744,2000,,,,,,,,"http://pbs.twimg.com/media/ExVoh34WQAc1MpH.jpg","https://t.co/B4C62PW47T","https://twitter.com/mauriciomacri/status/1375120846805737474/photo/1","photo","http://pbs.twimg.com/media/ExVoh34WQAc1MpH.jpg","https://t.co/B4C62PW47T","https://twitter.com/mauriciomacri/status/1375120846805737474/photo/1",,"x77009449 x313577888","horaciorlarreta Soledad_Acunia","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/mauriciomacri/status/1375120846805737474","Mauricio Macri","Buenos Aires, Argentina","Ex presidente de la República Argentina. Miembro fundador de PRO Argentina y Cambiemos. Casado. 4 hijos. Hincha de Boca.","https://t.co/wTNCQ6fzyK",FALSE,5118697,636,7358,10244,117,2009-03-17 15:42:21,TRUE,"https://t.co/wTNCQ6fzyK","http://www.mauriciomacri.com.ar/",,"https://pbs.twimg.com/profile_banners/24900072/1574719653","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/653558348273569792/joxg8DZD_normal.png"
"x38078904","x1375109258749042691",2021-03-25 15:36:10,"gabicerru","El gobierno de @horaciorlarreta es experto en cemento, baldosas y ladrillos. Pero inútil para todo lo que sea cuidar la salud  de la población, garantizar equidad y ser empáticos. 
Por eso es un desastre el plan de vacunación.
Y no, no es problema de gestión: es ideología.","Twitter Web App",273,,,,FALSE,FALSE,1380,512,,,,,,,,,,,,,,,,"x77009449","horaciorlarreta","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/gabicerru/status/1375109258749042691","Gabriela Cerruti","Buenos Aires","Periodista, escritora, docente, madre, ecologista y feminista. Diputada nacional Frente de Todes.","https://t.co/VX4lwoEWxh",FALSE,264474,1330,1431,74158,15558,2009-05-06 01:31:31,TRUE,"https://t.co/VX4lwoEWxh","https://www.planetadelibros.com/libro-la-revolucion-de-las-viejas/327183",,"https://pbs.twimg.com/profile_banners/38078904/1615731569","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1045792929372131328/v6mnFT1m_normal.jpg"
"x142516737","x1375158259426922498",2021-03-25 18:50:52,"jmvaldesre","INSÓLITO lo que acaba de hacer el PRO para no votar el repudio al PENOSO comunicado de Patricia Bullrich contra Estela de Carloto. @MontenegroViki  pidió el tratamiento y levantaron la sesión de una manera completamente autoritaria. Esto pasa en la Legislatura de @horaciorlarreta","Twitter for Android",280,,,,FALSE,FALSE,556,265,,,,,,,,,,,,,,,,"x596066736 x77009449","MontenegroViki horaciorlarreta","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/jmvaldesre/status/1375158259426922498","Juan Manuel Valdés","Buenos Aires ","Licenciado en Letras. Legislador porteño. Mis compañeros, mis libros, Charly García y River Plate. Milito en @gbicentenarioar","https://t.co/Mjj6lUh4og",FALSE,7439,1992,35,12256,6083,2010-05-11 02:42:03,TRUE,"https://t.co/Mjj6lUh4og","https://www.legislatura.gov.ar/legislador/valdesjuanmanuel",,"https://pbs.twimg.com/profile_banners/142516737/1599942126","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1153264062349942785/FHbfTs5T_normal.jpg"
"x313577888","x1375193801879396353",2021-03-25 21:12:06,"Soledad_Acunia","Junto a @mauriciomacri y @horaciorlarreta conversamos con estudiantes de 5º año de la Escuela de Educación Media Nº 1 D.E. 21 de Villa Lugano y de la Escuela de Comercio Nº31 D.E. 9 de Palermo, quienes aprenden inglés desde 1º grado. https://t.co/qAYTbSuOxn","Twitter Web App",233,,,,FALSE,FALSE,371,76,,,,,,,,"http://pbs.twimg.com/media/ExWrTFgUUAMGOYD.jpg","https://t.co/qAYTbSuOxn","https://twitter.com/Soledad_Acunia/status/1375193801879396353/photo/1","photo","http://pbs.twimg.com/media/ExWrTFgUUAMGOYD.jpg","https://t.co/qAYTbSuOxn","https://twitter.com/Soledad_Acunia/status/1375193801879396353/photo/1",,"x24900072 x77009449","mauriciomacri horaciorlarreta","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Soledad_Acunia/status/1375193801879396353","María Soledad Acuña","Perette y Calle 10 - Barrio 31","Ministra de Educación del GCBA. Barilochense de corazón, porteña por elección. #mamádevarones","https://t.co/2n0V21yNyn",FALSE,26827,442,125,6417,859,2011-06-08 21:42:57,TRUE,"https://t.co/2n0V21yNyn","https://www.buenosaires.gob.ar/educacion/institucional-ministerio-de-educacion",,"https://pbs.twimg.com/profile_banners/313577888/1539978838","http://abs.twimg.com/images/themes/theme11/bg.gif","http://pbs.twimg.com/profile_images/1224359363399311362/clpcdiE__normal.jpg"
"x18143118","x1375148004613689345",2021-03-25 18:10:07,"proargentina","Esta mañana @mauriciomacri, @horaciorlarreta y @soledad_acunia estuvieron en el Centro Metropolitano de Diseño para compartir un encuentro con chicos de escuelas públicas de la Ciudad. https://t.co/In8hr8RD2l","Twitter for iPhone",184,,,,FALSE,FALSE,494,130,,,,,,,,"http://pbs.twimg.com/media/ExWB0awXEAkZvcV.jpg","https://t.co/In8hr8RD2l","https://twitter.com/proargentina/status/1375148004613689345/photo/1","photo","http://pbs.twimg.com/media/ExWB0awXEAkZvcV.jpg http://pbs.twimg.com/media/ExWB0avWEAUHOD_.jpg","https://t.co/In8hr8RD2l https://t.co/In8hr8RD2l","https://twitter.com/proargentina/status/1375148004613689345/photo/1 https://twitter.com/proargentina/status/1375148004613689345/photo/1",,"x24900072 x77009449 x313577888","mauriciomacri horaciorlarreta Soledad_Acunia","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/proargentina/status/1375148004613689345","PRO","Argentina","Somos un equipo de argentinos presentes en todas las provincias, unidos por el interés en el futuro y la convicción de que podemos hacer un país mejor.","https://t.co/zyYm9UklqI",FALSE,249947,368,738,25903,621,2008-12-15 18:54:05,TRUE,"https://t.co/zyYm9UklqI","http://www.pro.com.ar",,"https://pbs.twimg.com/profile_banners/18143118/1597191754","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1293342070984380416/jH7fzGKz_normal.jpg"
"x156242969","x1375542085198213130",2021-03-26 20:16:04,"luisbremer","Así se viaja HOY
#subte 
@Metrovias @basubte 
@horaciorlarreta @diegosantilli 
@soyjuanjomendez 
Y le renovaron directamente la concesión a la empresa.  Tendremos 12 años más de esto???
#Pandemia 
#COVID19 https://t.co/QHnw0uYEy4","Twitter for Android",205,,,,FALSE,FALSE,27,11,,,"subte Pandemia COVID19",,,,,"http://pbs.twimg.com/media/ExboNK8XMA0av9A.jpg","https://t.co/QHnw0uYEy4","https://twitter.com/luisbremer/status/1375542085198213130/photo/1","photo","http://pbs.twimg.com/media/ExboNK8XMA0av9A.jpg http://pbs.twimg.com/media/ExboOWrXMAYPoPf.jpg","https://t.co/QHnw0uYEy4 https://t.co/QHnw0uYEy4","https://twitter.com/luisbremer/status/1375542085198213130/photo/1 https://twitter.com/luisbremer/status/1375542085198213130/photo/1",,"x129905556 x2507810474 x77009449 x34455479 x17756640","Metrovias basubte horaciorlarreta diegosantilli soyjuanjomendez","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/luisbremer/status/1375542085198213130","Luis Bremer","Argentina","Periodista","https://t.co/ZY0Dcimz9O",FALSE,410490,3124,621,359532,152043,2010-06-16 11:45:01,TRUE,"https://t.co/ZY0Dcimz9O","http://www.partedelshow.com.ar",,"https://pbs.twimg.com/profile_banners/156242969/1614938270","http://abs.twimg.com/images/themes/theme12/bg.gif","http://pbs.twimg.com/profile_images/1368260747319521285/O5MuHdaD_normal.jpg"
"x301492316","x1373411193759666179",2021-03-20 23:08:39,"fvallejoss","La política del gobierno porteño es, lisa y llanamente, criminal. 
¿A dónde quiere llegar @horaciorlarreta? https://t.co/5IJ7g1SbrN","Twitter for Android",107,,,,TRUE,FALSE,280,167,,,,,"twitter.com/eduardolopezut…","https://t.co/5IJ7g1SbrN","https://twitter.com/eduardolopezute/status/1373291034327851013",,,,,,,,,"x77009449","horaciorlarreta","es","x1373291034327851013","“Las políticas de marketing no las cumplimos, cumplimos las políticas de cuidado"".

Nota de Constanza Bonsignore para @pagina12

https://t.co/5UAsVWoIsz",2021-03-20 15:11:11,"Twitter for iPhone",151,72,"x265677567","eduardolopezute","Eduardo López",23095,3166,15496,"Villa Soldati, Argentina","Docente. Secretario General de la CTA de la Ciudad de Buenos Aires. Secretario Gremial de CTERA y Secretario General Adjunto de UTE.",TRUE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/fvallejoss/status/1373411193759666179","Fernanda Vallejos","Argentina","<U+0001F1E6><U+0001F1F7> Economista (UBA). Diputada Nacional por la Provincia de Buenos Aires #UnidadCiudadana","https://t.co/RpUqmRge3f",FALSE,84760,985,309,35224,94393,2011-05-19 15:22:41,TRUE,"https://t.co/RpUqmRge3f","http://www.proyectoeconomico.com",,"https://pbs.twimg.com/profile_banners/301492316/1508251566","http://abs.twimg.com/images/themes/theme16/bg.gif","http://pbs.twimg.com/profile_images/1129176419509125120/ZJ_u8T8b_normal.jpg"
"x112822128","x1372868430001475584",2021-03-19 11:11:55,"mayrasmendoza","Muy irresponsable <U+2066>@horaciorlarreta<U+2069> si piensa autorizar a estudiantes a no usar tapabocas en el medio de una suba de casos!!

Hay familias de alumnxs con personas de riesgo, trabajen para cuidarlas, no para dejarlas desprotegidas y expuestas al <U+0001F9A0> https://t.co/M48DVjdg4B","Twitter for iPhone",271,,,,FALSE,FALSE,378,176,,,,,"tiempoar.com.ar/nota/de-cara-a…","https://t.co/M48DVjdg4B","https://www.tiempoar.com.ar/nota/de-cara-a-la-nueva-ola-de-coronavirus-el-gobierno-porteno-busca-flexibilizar-los-protocolos-en-las-escuelas",,,,,,,,,"x77009449","horaciorlarreta","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/mayrasmendoza/status/1372868430001475584","Mayra Mendoza <U+2600><U+FE0F>","Quilmes, Bs As, Argentina.","Intendenta de @QuilmesMuni.","https://t.co/VQnVJgKDX2",FALSE,160676,2406,370,24357,47284,2010-02-09 20:37:01,TRUE,"https://t.co/VQnVJgKDX2","http://www.mayramendoza.com",,"https://pbs.twimg.com/profile_banners/112822128/1562891349","http://abs.twimg.com/images/themes/theme18/bg.gif","http://pbs.twimg.com/profile_images/1062396891743313921/CE7Q61gA_normal.jpg"
"x112822128","x1372874338098159627",2021-03-19 11:35:23,"mayrasmendoza","No están pensando en hacerlo, ya lo comunicaron! @horaciorlarreta 

Flexibilizan cuidados cuando el mundo los ratifica, qué están buscando? 

Quieren personas contagiadas y que todo sea peor? 

Dejen de hacer política sucia con la pandemia! Cuiden la salud y la vida de la gente. https://t.co/Szjccbk83p","Twitter for iPhone",279,"x1372868430001475584","x112822128","mayrasmendoza",FALSE,FALSE,120,50,,,,,,,,"http://pbs.twimg.com/media/Ew1t7sQXEAA3a-C.jpg","https://t.co/Szjccbk83p","https://twitter.com/mayrasmendoza/status/1372874338098159627/photo/1","photo","http://pbs.twimg.com/media/Ew1t7sQXEAA3a-C.jpg","https://t.co/Szjccbk83p","https://twitter.com/mayrasmendoza/status/1372874338098159627/photo/1",,"x77009449","horaciorlarreta","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/004fe39f34e6452f.json","Quilmes","Quilmes, Argentina","city","Argentina","AR","NA NA","NA NA","-58.346384 -58.21515 -58.21515 -58.346384 -34.801165 -34.801165 -34.694657 -34.694657","https://twitter.com/mayrasmendoza/status/1372874338098159627","Mayra Mendoza <U+2600><U+FE0F>","Quilmes, Bs As, Argentina.","Intendenta de @QuilmesMuni.","https://t.co/VQnVJgKDX2",FALSE,160676,2406,370,24357,47284,2010-02-09 20:37:01,TRUE,"https://t.co/VQnVJgKDX2","http://www.mayramendoza.com",,"https://pbs.twimg.com/profile_banners/112822128/1562891349","http://abs.twimg.com/images/themes/theme18/bg.gif","http://pbs.twimg.com/profile_images/1062396891743313921/CE7Q61gA_normal.jpg"
"x164335332","x1373010542319796224",2021-03-19 20:36:37,"gracielaocana","Junto a @horaciorlarreta y a Laura Cordero, subsecretaria de Atención Hospitalaria recorrimos el Centro Islámico, uno de los centros de Vacunación de la Ciudad. Es muy importante todo el trabajo que se está haciendo para vacunar y proteger a nuestros adultos mayores. https://t.co/wSiOOYaWGt","Twitter for iPhone",267,,,,FALSE,FALSE,201,47,,,,,,,,"http://pbs.twimg.com/media/Ew3pzglW8As0Zi9.jpg","https://t.co/wSiOOYaWGt","https://twitter.com/gracielaocana/status/1373010542319796224/photo/1","photo","http://pbs.twimg.com/media/Ew3pzglW8As0Zi9.jpg http://pbs.twimg.com/media/Ew3pzgLWYAUjxcb.jpg","https://t.co/wSiOOYaWGt https://t.co/wSiOOYaWGt","https://twitter.com/gracielaocana/status/1373010542319796224/photo/1 https://twitter.com/gracielaocana/status/1373010542319796224/photo/1",,"x77009449","horaciorlarreta","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/018f1cde6bad9747.json","Ciudad Autónoma de Buenos Aires","Ciudad Autónoma de Buenos Aires, Argentina","city","Argentina","AR","NA NA","NA NA","-58.5317922 -58.353494 -58.353494 -58.5317922 -34.674453 -34.674453 -34.534177 -34.534177","https://twitter.com/gracielaocana/status/1373010542319796224","Graciela Ocaña","Argentina","Diputada Nacional. Presidenta de @confianzapubli. Me dicen la hormiguita <U+0001F41C> Lucho #ContraLaCorrupción","https://t.co/oKlyjCQBzt",FALSE,260831,1208,706,26869,15375,2010-07-08 16:35:10,TRUE,"https://t.co/oKlyjCQBzt","http://www.gracielaocana.com.ar",,"https://pbs.twimg.com/profile_banners/164335332/1563326193","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/885989964722429952/17BWJhux_normal.jpg"
