"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x198883031","x1375581562729865218",2021-03-26 22:52:56,"rodotailhade","Un pequeño hilo para refrescar la memoria de @mauriciomacri, a propósito de mis “denuncias militantes”.","Twitter for iPhone",103,,,,FALSE,FALSE,1487,823,,,,,,,,,,,,,,,,"x24900072","mauriciomacri","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/rodotailhade/status/1375581562729865218","Rodolfo Tailhade","","Militante peronista. Malvinas Argentinas. Diputado Nacional del Frente de Tod<U+2600><U+FE0F>s.","https://t.co/Mp6MVltcbZ",FALSE,89705,774,196,4079,7738,2010-10-05 14:01:44,TRUE,"https://t.co/Mp6MVltcbZ","https://www.facebook.com/RodoTailhade",,"https://pbs.twimg.com/profile_banners/198883031/1611599238","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1214539098410631169/OAAIpiQS_normal.jpg"
"x198883031","x1375581578399772675",2021-03-26 22:53:00,"rodotailhade","Luego, a partir de 2016 comenzaron mis “denuncias militantes”. Pero la trayectoria delictiva de @mauriciomacri había empezado mucho tiempo antes. Una vida dedicada al delito.","Twitter for iPhone",174,"x1375581576864665600","x198883031","rodotailhade",FALSE,FALSE,915,381,,,,,,,,,,,,,,,,"x24900072","mauriciomacri","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/rodotailhade/status/1375581578399772675","Rodolfo Tailhade","","Militante peronista. Malvinas Argentinas. Diputado Nacional del Frente de Tod<U+2600><U+FE0F>s.","https://t.co/Mp6MVltcbZ",FALSE,89705,774,196,4079,7738,2010-10-05 14:01:44,TRUE,"https://t.co/Mp6MVltcbZ","https://www.facebook.com/RodoTailhade",,"https://pbs.twimg.com/profile_banners/198883031/1611599238","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1214539098410631169/OAAIpiQS_normal.jpg"
"x198883031","x1374800831694913544",2021-03-24 19:10:35,"rodotailhade","Muchas gracias @mauriciomacri por hablar de mi trabajo y poner en foco mis denuncias. Así que ahora que nos miran todos, voy a aprovechar para hacer un repaso del estado de las causas que le inicié. Le aseguro que en todas necesita un abogado defensor. https://t.co/Hvyyt9E2uo","Twitter for iPhone",252,,,,TRUE,FALSE,4698,1990,,,,,"twitter.com/lanacion/statu…","https://t.co/Hvyyt9E2uo","https://twitter.com/lanacion/status/1374539858195087363",,,,,,,,,"x24900072","mauriciomacri","es","x1374539858195087363","Macri: ""Tengo claro que Cristina me quiere preso, pero estoy muy tranquilo"" https://t.co/3QgR6YQBvr https://t.co/ua9vI74tWM",2021-03-23 22:53:34,"dlvr.it",650,110,"x33989170","LANACION","LA NACION",3571883,229,390755,"Argentina","Información confiable y los mejores análisis de la realidad. 
<U+0001F4F2> <U+0001F4BB> Suscribite y accedé sin límites: https://t.co/Up4MXJggQb",TRUE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/rodotailhade/status/1374800831694913544","Rodolfo Tailhade","","Militante peronista. Malvinas Argentinas. Diputado Nacional del Frente de Tod<U+2600><U+FE0F>s.","https://t.co/Mp6MVltcbZ",FALSE,89705,774,196,4079,7738,2010-10-05 14:01:44,TRUE,"https://t.co/Mp6MVltcbZ","https://www.facebook.com/RodoTailhade",,"https://pbs.twimg.com/profile_banners/198883031/1611599238","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1214539098410631169/OAAIpiQS_normal.jpg"
"x38078904","x1375151836060078082",2021-03-25 18:25:21,"gabicerru","""Yo sé lo que vivió Estela de Carlotto porque esa misma gente me secuestró a mí"", dice @mauriciomacri 
1)No hay ningún detenido por su secuestro, ni pistas. 
2) Seguro no fueron los militares, porque eran sus socios.
3) Su padre creía que era un pase de facturas de La Famiglia.","Twitter Web App",278,,,,FALSE,FALSE,1642,513,,,,,,,,,,,,,,,,"x24900072","mauriciomacri","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/gabicerru/status/1375151836060078082","Gabriela Cerruti","Buenos Aires","Periodista, escritora, docente, madre, ecologista y feminista. Diputada nacional Frente de Todes.","https://t.co/VX4lwoEWxh",FALSE,264474,1330,1431,74158,15558,2009-05-06 01:31:31,TRUE,"https://t.co/VX4lwoEWxh","https://www.planetadelibros.com/libro-la-revolucion-de-las-viejas/327183",,"https://pbs.twimg.com/profile_banners/38078904/1615731569","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1045792929372131328/v6mnFT1m_normal.jpg"
"x71360442","x1375090615604674565",2021-03-25 14:22:05,"RicBenedetti","Mauricio Macri: ""Es un libro que con sinceridad comento como funciona el mundo corporativo... Tenemos que romper el STATU QUO, o somos el Cambio o no somos nada"" @mauriciomacri con Jorge Lanata https://t.co/Oq3Hp3duTb","Twitter for Android",193,"x1375089663845801997","x71360442","RicBenedetti",FALSE,FALSE,217,88,,,,,,,,"http://pbs.twimg.com/media/ExVNoBaWgAspK58.jpg","https://t.co/Oq3Hp3duTb","https://twitter.com/RicBenedetti/status/1375090615604674565/photo/1","photo","http://pbs.twimg.com/media/ExVNoBaWgAspK58.jpg","https://t.co/Oq3Hp3duTb","https://twitter.com/RicBenedetti/status/1375090615604674565/photo/1",,"x24900072","mauriciomacri","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/RicBenedetti/status/1375090615604674565","Ricardo R Benedetti","Buenos Aires, Argentina","Periodista político en #BabyEnElMedio
coord. gral. #EquipoBanquemos
Hereje y republicano. Socio del @CPA_Arg
<U+0001F499><U+0001F49B><U+0001F499>  https://t.co/gjF0xfAjRo","https://t.co/4zRowj6lSp",FALSE,97924,1212,206,35487,124070,2009-09-03 21:11:47,TRUE,"https://t.co/4zRowj6lSp","http://www.Banquemos.com",,"https://pbs.twimg.com/profile_banners/71360442/1615479523","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1330990802559000584/Kx8CCIoE_normal.jpg"
"x71360442","x1375092653096902662",2021-03-25 14:30:11,"RicBenedetti","Mauricio Macri: ""el 90 % de los créditos fue a pagar la deuda que nos dejó el kirchnerismo. No vi otra alternativa que ir al FMI"". @mauriciomacri con Jorge Lanata https://t.co/8v5wN53xD2","Twitter for Android",162,"x1375092301396054025","x71360442","RicBenedetti",FALSE,FALSE,167,71,,,,,,,,"http://pbs.twimg.com/media/ExVPetZWUAs1zGg.jpg","https://t.co/8v5wN53xD2","https://twitter.com/RicBenedetti/status/1375092653096902662/photo/1","photo","http://pbs.twimg.com/media/ExVPetZWUAs1zGg.jpg","https://t.co/8v5wN53xD2","https://twitter.com/RicBenedetti/status/1375092653096902662/photo/1",,"x24900072","mauriciomacri","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/RicBenedetti/status/1375092653096902662","Ricardo R Benedetti","Buenos Aires, Argentina","Periodista político en #BabyEnElMedio
coord. gral. #EquipoBanquemos
Hereje y republicano. Socio del @CPA_Arg
<U+0001F499><U+0001F49B><U+0001F499>  https://t.co/gjF0xfAjRo","https://t.co/4zRowj6lSp",FALSE,97924,1212,206,35487,124070,2009-09-03 21:11:47,TRUE,"https://t.co/4zRowj6lSp","http://www.Banquemos.com",,"https://pbs.twimg.com/profile_banners/71360442/1615479523","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1330990802559000584/Kx8CCIoE_normal.jpg"
"x71360442","x1375089663845801997",2021-03-25 14:18:18,"RicBenedetti","Mauricio Macri: ""Si Perón estuviera acá diría: Yo me anoto en Juntos Por El Cambio""
@mauriciomacri https://t.co/78eB4QEaK9","Twitter for Android",98,,,,FALSE,FALSE,1193,331,,,,,,,,"http://pbs.twimg.com/media/ExVMwwBW8AgtERi.jpg","https://t.co/78eB4QEaK9","https://twitter.com/RicBenedetti/status/1375089663845801997/photo/1","photo","http://pbs.twimg.com/media/ExVMwwBW8AgtERi.jpg","https://t.co/78eB4QEaK9","https://twitter.com/RicBenedetti/status/1375089663845801997/photo/1",,"x24900072","mauriciomacri","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/RicBenedetti/status/1375089663845801997","Ricardo R Benedetti","Buenos Aires, Argentina","Periodista político en #BabyEnElMedio
coord. gral. #EquipoBanquemos
Hereje y republicano. Socio del @CPA_Arg
<U+0001F499><U+0001F49B><U+0001F499>  https://t.co/gjF0xfAjRo","https://t.co/4zRowj6lSp",FALSE,97924,1212,206,35487,124070,2009-09-03 21:11:47,TRUE,"https://t.co/4zRowj6lSp","http://www.Banquemos.com",,"https://pbs.twimg.com/profile_banners/71360442/1615479523","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1330990802559000584/Kx8CCIoE_normal.jpg"
"x71360442","x1375097104717258753",2021-03-25 14:47:52,"RicBenedetti","Mauricio Macri: ""Solamente puede ganar plata cuando alguien no paga impuestos. Tenemos un gobierno que te inventa un impuesto por segundo, así nadie puede hacer nada. Es un sistema mafioso, expulsa cada vez más a los argentinos a trabajar en negro"" @mauriciomacri con Jorge Lanata https://t.co/sGwYXMQVQU","Twitter for Android",280,"x1375096361545252870","x71360442","RicBenedetti",FALSE,FALSE,188,88,,,,,,,,"http://pbs.twimg.com/media/ExVTh2LWEAw0Rxn.jpg","https://t.co/sGwYXMQVQU","https://twitter.com/RicBenedetti/status/1375097104717258753/photo/1","photo","http://pbs.twimg.com/media/ExVTh2LWEAw0Rxn.jpg","https://t.co/sGwYXMQVQU","https://twitter.com/RicBenedetti/status/1375097104717258753/photo/1",,"x24900072","mauriciomacri","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/RicBenedetti/status/1375097104717258753","Ricardo R Benedetti","Buenos Aires, Argentina","Periodista político en #BabyEnElMedio
coord. gral. #EquipoBanquemos
Hereje y republicano. Socio del @CPA_Arg
<U+0001F499><U+0001F49B><U+0001F499>  https://t.co/gjF0xfAjRo","https://t.co/4zRowj6lSp",FALSE,97924,1212,206,35487,124070,2009-09-03 21:11:47,TRUE,"https://t.co/4zRowj6lSp","http://www.Banquemos.com",,"https://pbs.twimg.com/profile_banners/71360442/1615479523","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1330990802559000584/Kx8CCIoE_normal.jpg"
"x81496837","x1375076261001891846",2021-03-25 13:25:02,"MartinSiracusa","Avisen a Estela de Carlotto que la ex Presidente con pedido de prisión preventiva es la de su propio partido.
El Lawfare es el nuevo curro del kirchnerismo: lo activan cuando les conviene.
En contraste, @mauriciomacri está bien limpito de causas, inventen lo que inventen.","Hootsuite Inc.",272,,,,FALSE,FALSE,586,260,,,,,,,,,,,,,,,,"x24900072","mauriciomacri","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MartinSiracusa/status/1375076261001891846","Martín Siracusa","Argentina","<U+0001F4CA>Economista+MA en Finanzas+Profe #UBA #UCA <U+0001F1E6><U+0001F1F7>ExSubsecretario Admin. Min.Seguridad 2015-19 <U+0001F4DA>Autor de “El lado B del Bienestar”","https://t.co/Qf5SGW2nZM",FALSE,16179,7554,28,13793,10140,2009-10-11 02:35:04,TRUE,"https://t.co/Qf5SGW2nZM","https://www.lanacion.com.ar/opinion/pocas-palabras-ningun-plan-nid09032021/",,"https://pbs.twimg.com/profile_banners/81496837/1576085015","http://abs.twimg.com/images/themes/theme6/bg.gif","http://pbs.twimg.com/profile_images/1340773795645288450/ZoEwxPg8_normal.jpg"
"x77009449","x1375121993285181442",2021-03-25 16:26:46,"horaciorlarreta","Con @mauriciomacri y @Soledad_Acunia compartimos un encuentro con estudiantes de 5° año de la Escuela de Comercio N° 31 D.E. 9 de Palermo y de la Escuela de Educación Media N° 1 D.E. 21 de Villa Lugano, quienes vienen aprendiendo inglés desde 1° grado. https://t.co/lyOwWMq2CB","Twitter for iPhone",252,,,,FALSE,FALSE,1795,323,,,,,,,,"http://pbs.twimg.com/media/ExVqKZSXIAYJLDg.jpg","https://t.co/lyOwWMq2CB","https://twitter.com/horaciorlarreta/status/1375121993285181442/photo/1","photo","http://pbs.twimg.com/media/ExVqKZSXIAYJLDg.jpg","https://t.co/lyOwWMq2CB","https://twitter.com/horaciorlarreta/status/1375121993285181442/photo/1",,"x24900072 x313577888","mauriciomacri Soledad_Acunia","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/horaciorlarreta/status/1375121993285181442","Horacio Rodríguez Larreta <U+270B><U+0001F3FC><U+0001F9FC><U+0001F91A><U+0001F3FC>","Ciudad de Buenos Aires","Jefe de Gobierno de @gcba. Lic en Economía (UBA). Fanático de Racing. Padre de tres hijas hermosas y esposo de una gran mujer.","https://t.co/CdRof4SQ4x",FALSE,1630501,349,2235,11962,284,2009-09-24 18:35:17,TRUE,"https://t.co/CdRof4SQ4x","https://www.rodriguezlarreta.com.ar/",,"https://pbs.twimg.com/profile_banners/77009449/1615777183","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1371295010776363014/usLLMgGI_normal.jpg"
